iter	Passed	Remaining
701	17406	56979
702	17431	56956
703	17455	56929
704	17480	56903
705	17503	56873
706	17527	56845
707	17551	56819
708	17573	56784
709	17596	56756
710	17622	56733
711	17646	56707
712	17671	56681
713	17696	56658
714	17725	56645
715	17749	56619
716	17773	56591
717	17797	56566
718	17822	56540
719	17847	56516
720	17871	56489
721	17894	56460
722	17919	56435
723	17944	56411
724	17970	56389
725	17996	56367
726	18020	56342
727	18045	56318
728	18070	56294
729	18094	56267
730	18119	56242
731	18144	56217
732	18169	56193
733	18191	56161
734	18216	56136
735	18240	56108
736	18264	56081
737	18288	56056
738	18311	56025
739	18336	56000
740	18361	55975
741	18385	55949
742	18408	55920
743	18434	55896
744	18458	55872
745	18483	55845
746	18507	55820
747	18533	55798
748	18558	55775
749	18582	55747
750	18604	55714
751	18629	55689
752	18653	55661
753	18678	55640
754	18703	55615
755	18727	55587
756	18750	55559
757	18774	55530
758	18797	55501
759	18821	55474
760	18845	55447
761	18867	55414
762	18891	55386
763	18915	55360
764	18936	55325
765	18959	55295
766	18982	55265
767	19006	55236
768	19029	55207
769	19054	55184
770	19079	55159
771	19102	55129
772	19126	55102
773	19152	55081
774	19177	55057
775	19200	55028
776	19226	55006
777	19250	54979
778	19274	54953
779	19297	54924
780	19320	54895
781	19345	54869
782	19371	54847
783	19396	54825
784	19421	54800
785	19447	54780
786	19474	54759
787	19499	54737
788	19525	54714
789	19549	54690
790	19576	54669
791	19601	54646
792	19627	54625
793	19651	54597
794	19675	54572
795	19699	54545
796	19724	54521
797	19748	54494
798	19775	54476
799	19799	54449
800	19826	54430
801	19854	54413
802	19878	54387
803	19904	54365
804	19928	54339
805	19951	54309
806	19976	54286
807	20002	54262
808	20027	54239
809	20051	54213
810	20075	54185
811	20100	54161
812	20124	54136
813	20149	54110
814	20172	54082
815	20195	54052
816	20219	54025
817	20242	53996
818	20265	53965
819	20290	53943
820	20314	53915
821	20338	53888
822	20361	53861
823	20384	53832
824	20406	53799
825	20430	53772
826	20453	53742
827	20476	53713
828	20500	53687
829	20524	53660
830	20548	53632
831	20570	53602
832	20594	53574
833	20617	53546
834	20642	53521
835	20665	53493
836	20690	53469
837	20714	53443
838	20738	53415
839	20762	53388
840	20786	53363
841	20810	53336
842	20832	53305
843	20855	53276
844	20880	53250
845	20902	53218
846	20924	53188
847	20948	53161
848	20970	53131
849	20995	53106
850	21019	53080
851	21042	53051
852	21066	53024
853	21089	52996
854	21114	52970
855	21137	52941
856	21159	52912
857	21184	52886
858	21208	52859
859	21231	52831
860	21253	52800
861	21275	52769
862	21297	52738
863	21320	52708
864	21342	52678
865	21366	52652
866	21391	52627
867	21414	52598
868	21437	52571
869	21461	52544
870	21486	52518
871	21509	52490
872	21532	52462
873	21554	52431
874	21577	52402
875	21600	52374
876	21624	52347
877	21647	52318
878	21669	52288
879	21692	52260
880	21715	52230
881	21739	52203
882	21763	52178
883	21786	52150
884	21809	52121
885	21836	52102
886	21862	52079
887	21886	52054
888	21911	52029
889	21934	52000
890	21957	51974
891	21982	51948
892	22005	51922
893	22029	51895
894	22053	51869
895	22077	51843
896	22102	51817
897	22126	51793
898	22150	51766
899	22173	51738
900	22197	51711
901	22220	51683
902	22243	51655
903	22267	51629
904	22289	51599
905	22310	51565
906	22335	51542
907	22358	51514
908	22381	51485
909	22405	51458
910	22429	51432
911	22452	51404
912	22476	51377
913	22500	51351
914	22524	51325
915	22547	51298
916	22572	51273
917	22597	51250
918	22621	51225
919	22645	51199
920	22671	51176
921	22696	51154
922	22719	51125
923	22743	51099
924	22766	51071
925	22788	51040
926	22813	51017
927	22838	50992
928	22861	50964
929	22885	50939
930	22909	50913
931	22933	50887
932	22956	50859
933	22980	50833
934	23004	50805
935	23028	50780
936	23052	50754
937	23076	50728
938	23099	50700
939	23121	50670
940	23145	50643
941	23169	50619
942	23193	50592
943	23216	50564
944	23240	50539
945	23264	50512
946	23286	50483
947	23310	50456
948	23333	50428
949	23359	50408
950	23382	50378
951	23404	50349
952	23428	50323
953	23453	50298
954	23479	50277
955	23503	50252
956	23528	50228
957	23551	50201
958	23576	50175
959	23599	50148
960	23621	50118
961	23643	50089
962	23668	50064
963	23692	50038
964	23716	50013
965	23740	49987
966	23762	49957
967	23786	49932
968	23810	49905
969	23835	49881
970	23860	49858
971	23883	49830
972	23906	49803
973	23930	49777
974	23954	49751
975	23979	49727
976	24002	49700
977	24024	49669
978	24047	49642
979	24070	49615
980	24096	49592
981	24118	49563
982	24142	49537
983	24165	49510
984	24189	49484
985	24214	49459
986	24236	49430
987	24259	49402
988	24282	49376
989	24307	49350
990	24331	49325
991	24354	49298
992	24378	49271
993	24402	49246
994	24426	49221
995	24451	49197
996	24475	49171
997	24499	49146
998	24524	49122
999	24548	49097
1000	24574	49074
1001	24599	49051
1002	24624	49027
